id;androidversion;androidlanguage;deviceinfo;appversion;day;month;year;hour;minute;playername;playerpoints;playercombos;computeralgorithm;computerpoints;computercombos;playerstarted
30459;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;15;51;HCLBB19A29202826;850;Acata,Fam-Fuji,Nanata;ShikoGreedyPlayer;190;;1
30460;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;15;52;HCLBB19A29202826;80;;ShikoGreedyPlayer;950;Matsu-Kiri-Bozu,Shiko;1
30461;28 (9);eng;SM-J530G (j5y17lteub);2.15.0;30;8;2020;12;11;5200f387b8f5845f;220;Tsukimi I-Pai;RandomPlayer;310;Acata;1
30462;28 (9);eng;SM-J530G (j5y17lteub);2.15.0;30;8;2020;12;24;5200f387b8f5845f;520;Oozan,Fam-Matsu;RandomPlayer;140;;0
30463;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;30;8;2020;13;37;a4efa3c5;270;;RandomPlayer;210;Fam-Susuki;1
30464;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;30;8;2020;13;39;a4efa3c5;190;;RandomPlayer;310;Aotan;0
30465;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;30;8;2020;14;59;a4efa3c5;280;Hanami I-Pai;RandomPlayer;270;Fam-Momiji,Fam-Kiri;1
30466;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;22;39;HCLBB19A29202826;250;Fam-Momiji;ShikoGreedyPlayer;190;;0
30467;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;22;40;HCLBB19A29202826;630;Tepo,Hanami I-Pai,Tsukimi I-Pai,Fam-Sakura,Fam-Momiji;ShikoGreedyPlayer;200;Fam-Fuji;0
30468;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;22;42;HCLBB19A29202826;210;;ShikoGreedyPlayer;190;;1
30469;28 (9);eng;SM-J530G (j5y17lteub);2.15.0;30;8;2020;19;18;5200f387b8f5845f;220;Fam-Uma;RandomPlayer;320;Aotan;0
30470;28 (9);eng;SM-J530G (j5y17lteub);2.15.0;30;8;2020;20;37;5200f387b8f5845f;600;Acata,Ino-Shika-Cho,Fam-Fuji;RandomPlayer;200;Fam-Kiri;1
30471;28 (9);eng;SM-J530G (j5y17lteub);2.15.0;30;8;2020;20;38;5200f387b8f5845f;560;Oozan,Fam-Matsu,Fam-Uma,Fam-Kiri;RandomPlayer;310;Aotan,Fam-Fuji;0
30472;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;30;8;2020;20;50;a4efa3c5;300;Tsukimi I-Pai,Fam-Susuki;RandomPlayer;200;;1
30473;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;31;8;2020;0;42;a4efa3c5;220;;RandomPlayer;240;Hanami I-Pai;1
30474;23 (6.0.1);eng;SM-N910V (trltevzw);2.15.0;30;8;2020;17;51;6ec6d87d;320;Aotan;RandomPlayer;140;;1
30475;23 (6.0.1);eng;SM-N910V (trltevzw);2.15.0;30;8;2020;17;53;6ec6d87d;200;;RandomPlayer;140;;1
30476;27 (8.1.0);eng;SM-P585M (gtanotexllteub);2.15.0;31;8;2020;4;5;5203a1e9be73431d;480;Oozan,Fam-Momiji;RandomPlayer;250;Tsukimi I-Pai;1
30477;27 (8.1.0);eng;SM-P585M (gtanotexllteub);2.15.0;31;8;2020;4;9;5203a1e9be73431d;250;Fam-Susuki;RandomPlayer;900;Hanami I-Pai,Nanata;0
30478;23 (6.0.1);eng;SM-N910V (trltevzw);2.15.0;31;8;2020;1;1;6ec6d87d;300;Fam-Sakura;RandomPlayer;260;Tsukimi I-Pai;0
30479;23 (6.0.1);eng;SM-N910V (trltevzw);2.15.0;31;8;2020;1;3;6ec6d87d;160;Fam-Uma;RandomPlayer;570;Matsu-Kiri-Bozu,Tsukimi I-Pai,Fam-Susuki;0
30480;23 (6.0.1);eng;SM-N910V (trltevzw);2.15.0;31;8;2020;1;48;6ec6d87d;270;Fam-Uma;RandomPlayer;200;Fam-Fuji;0
30481;23 (6.0.1);eng;SM-N910V (trltevzw);2.15.0;31;8;2020;1;51;6ec6d87d;170;;RandomPlayer;360;Fam-Sakura,Fam-Susuki,Fam-Kiri;1
30482;23 (6.0.1);eng;SM-N910V (trltevzw);2.15.0;31;8;2020;1;53;6ec6d87d;240;Fam-Sakura;RandomPlayer;570;Matsu-Kiri-Bozu,Tsukimi I-Pai,Fam-Susuki,Fam-Kiri;0
30483;23 (6.0.1);eng;SM-N910V (trltevzw);2.15.0;31;8;2020;1;55;6ec6d87d;500;Tepo,Hanami I-Pai,Tsukimi I-Pai,Fam-Sakura;RandomPlayer;340;Fam-Uma;1
30484;23 (6.0.1);eng;SM-N910V (trltevzw);2.15.0;31;8;2020;1;58;6ec6d87d;320;Cosan,Fam-Matsu;RandomPlayer;190;Fam-Susuki;1
30485;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;31;8;2020;17;7;HCLBB19A29202826;150;;ShikoGreedyPlayer;350;Tsukimi I-Pai,Fam-Susuki,Fam-Momiji;1
30486;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;31;8;2020;19;12;HCLBB19A29202826;160;;ShikoGreedyPlayer;700;Ino-Shika-Cho,Hanami I-Pai,Fam-Sakura;1
30487;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;31;8;2020;19;13;HCLBB19A29202826;380;Cosan,Fam-Susuki;ShikoGreedyPlayer;420;Hanami I-Pai,Fam-Fuji,Fam-Kiri;1
30488;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;31;8;2020;15;16;a4efa3c5;670;Oozan,Cosan,Hanami I-Pai;RandomPlayer;280;Acata;1
30489;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;31;8;2020;16;31;a4efa3c5;420;Cosan,Fam-Matsu;RandomPlayer;110;;0
30490;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;31;8;2020;20;23;a4efa3c5;440;Cosan,Fam-Matsu,Fam-Susuki;RandomPlayer;150;;0
30491;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;31;8;2020;20;45;a4efa3c5;310;Hanami I-Pai;RandomPlayer;120;;0
30492;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;31;8;2020;20;47;a4efa3c5;170;;RandomPlayer;620;Tepo,Hanami I-Pai,Tsukimi I-Pai,Fam-Sakura,Fam-Kiri;0
30493;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;31;8;2020;20;49;a4efa3c5;200;Fam-Uma;Greedy;250;Fam-Momiji;0
30494;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;31;8;2020;20;51;a4efa3c5;270;Hanami I-Pai;ExpectiMinimaxPlayer;270;Fam-Fuji;0
30495;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;31;8;2020;20;53;a4efa3c5;330;Tsukimi I-Pai,Fam-Fuji;ShikoGreedyPlayer;380;Oozan;1
30496;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;31;8;2020;20;55;a4efa3c5;270;Fam-Uma,Fam-Momiji;NanatanGreedyPlayer;210;;1
